make,model,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,registrationcity,registrationstate,Selling_Price
Maruti,Baleno,2015.0,Petrol,80126.0,1,Manual,Hatchback,New Delhi,Delhi,443000.0
Volkswagen,Ameo,2019.0,Petrol,13886.0,1,Manual,Sedan,Coimbatore,Tamil Nadu,641000.0
Audi,Q3,2017.0,Petrol,67769.0,1,Automatic,Luxury SUV,Ahmedabad,Gujarat,1364800.0
Maruti,Baleno,2021.0,Petrol,14340.0,1,Manual,Hatchback,Ahmedabad,Gujarat,778000.0
Maruti,Baleno,2018.0,Petrol,35521.0,1,Manual,Hatchback,Delhi,Delhi,485999.0
Hyundai,Elite I20,2019.0,Petrol,33320.0,1,Manual,Hatchback,New Delhi,Delhi,616900.0
Maruti,Baleno,2016.0,Petrol,50446.0,1,Manual,Hatchback,Mumbai,Maharashtra,558000.0
Datsun,Redi Go,2017.0,Petrol,99957.0,1,Manual,Hatchback,Gandhinagar,Gujarat,243000.0
Hyundai,Elite I20,2018.0,Petrol,52303.0,2,Manual,Hatchback,Ahmedabad,Gujarat,688000.0
Honda,City,2014.0,Petrol,26537.0,1,Automatic,Sedan,Gurgaon,Haryana,714000.0
Hyundai,Elite I20,2016.0,Petrol,52830.0,1,Manual,Hatchback,Kanpur,Uttar Pradesh,499900.0
Tata,Harrier,2020.0,Diesel,28625.0,2,Manual,SUV,Gurgaon,Haryana,1257000.0
Maruti,Vitara Brezza,2019.0,Diesel,39210.0,1,Manual,SUV,Delhi,Delhi,759000.0
